DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:387 Adding product by index=1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:87 Clearing cart before add-to-cart test
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:97 Cart cleared and back on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:327 Card values | index=1 | name=Sauce Labs Backpack | price=$29.99 | desc=carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:399 Button toggled to Remove after adding | index=1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:400 Added product to cart | index=1 | name=Sauce Labs Backpack | price=$29.99
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:18 Opening cart
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:25 Cart opened and default locators visible
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:45 Clicking checkout button
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:48 Navigated to checkout information page
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:51 Filling checkout information
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:55 Filled checkout info: first_name='John', last_name='Doe', zip_code='12345'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:56 Checkout information filled
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:59 Proceeding to checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:62 Navigated to checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:100 Canceling checkout
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:105 Returned to products page from overview
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:387 Adding product by index=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:327 Card values | index=2 | name=Sauce Labs Bike Light | price=$9.99 | desc=A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:399 Button toggled to Remove after adding | index=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:400 Added product to cart | index=2 | name=Sauce Labs Bike Light | price=$9.99
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:18 Opening cart
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:25 Cart opened and default locators visible
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=2 | actual=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 2
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:45 Clicking checkout button
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:48 Navigated to checkout information page
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:51 Filling checkout information
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:55 Filled checkout info: first_name='John', last_name='Doe', zip_code='12345'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:56 Checkout information filled
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:59 Proceeding to checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:62 Navigated to checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:87 Finishing checkout
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:92 Checkout completed successfully
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:97 Navigated back to inventory from checkout complete
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
