DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:241 Selecting sort option: Name (A to Z)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:251 Sort option Name (A to Z) selected
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:256 Verifying products are sorted by name (asc)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:216 Collected product names
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:259 Name sort verification | order=asc | actual=['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)'] | expected=['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:266 Products sorted correctly by name (asc)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:87 Clearing cart before add-to-cart test
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:97 Cart cleared and back on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:117 Current badge count before adding: 0
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=1/1 | index=4 | name=Sauce Labs Fleece Jacket | price=$49.99 | desc=It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling everything from a relaxing day outdoors to a busy day at the office.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=4
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:154 Badge updated correctly to 1 after adding 1 items
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=1 | actual=1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:200 Removing one item and verifying badge is cleared
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:210 Badge cleared after removal
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:256 Verifying products are sorted by name (asc)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:216 Collected product names
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:259 Name sort verification | order=asc | actual=['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)'] | expected=['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:266 Products sorted correctly by name (asc)
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
