DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:87 Clearing cart before add-to-cart test
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:97 Cart cleared and back on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:117 Current badge count before adding: 0
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=1/2 | index=5 | name=Sauce Labs Onesie | price=$7.99 | desc=Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom closure, two-needle hemmed sleeved and bottom won't unravel.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=5
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=2/2 | index=3 | name=Sauce Labs Bolt T-Shirt | price=$15.99 | desc=Get your testing superhero on with the Sauce Labs bolt T-shirt. From American Apparel, 100% ringspun combed cotton, heather gray with red bolt.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=3
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:154 Badge updated correctly to 2 after adding 2 items
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=2 | actual=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 2
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 0
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:177 Badge visibility check for expected=0 | visible=False
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:184 Badge hidden/absent as expected for count 0
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:95 Closing burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:104 Burger menu closed and items hidden
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
