DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:241 Selecting sort option: Name (A to Z)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:251 Sort option Name (A to Z) selected
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:256 Verifying products are sorted by name (asc)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:216 Collected product names
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:259 Name sort verification | order=asc | actual=['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)'] | expected=['Sauce Labs Backpack', 'Sauce Labs Bike Light', 'Sauce Labs Bolt T-Shirt', 'Sauce Labs Fleece Jacket', 'Sauce Labs Onesie', 'Test.allTheThings() T-Shirt (Red)']
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:266 Products sorted correctly by name (asc)
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
