"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 01 15:49:09 UTC 2026","Sun Feb 01 15:49:10 UTC 2026","1223","tests.fe","test_authentication","","","","test_inventory_access_requires_auth","Critical: Inventory access requires authentication."
"passed","Sun Feb 01 15:48:57 UTC 2026","Sun Feb 01 15:48:58 UTC 2026","734","tests.fe","test_authentication","","","","test_authentication_login[invalid_user_wrong_pass]","Major: Authentication login test."
"passed","Sun Feb 01 15:50:00 UTC 2026","Sun Feb 01 15:50:01 UTC 2026","486","tests.fe","test_cart_and_checkout","TestCart","","","test_verify_cart_resets_after_checkout","Major: Verify cart resets after successful checkout."
"passed","Sun Feb 01 15:50:36 UTC 2026","Sun Feb 01 15:50:37 UTC 2026","234","tests.fe","test_products","TestProductsPage","","","test_add_to_cart_updates_badge","Major: Add to cart updates badge."
"passed","Sun Feb 01 15:48:55 UTC 2026","Sun Feb 01 15:48:55 UTC 2026","731","tests.fe","test_authentication","","","","test_authentication_login[valid_user_wrong_pass]","Major: Authentication login test."
"passed","Sun Feb 01 15:49:24 UTC 2026","Sun Feb 01 15:49:24 UTC 2026","452","tests.fe","test_cart_and_checkout","TestCart","","","test_invalid_checkout_info_empty_fields","Critical: Invalid empty fields."
"passed","Sun Feb 01 15:50:48 UTC 2026","Sun Feb 01 15:50:48 UTC 2026","130","tests.fe","test_products","TestProductsPage","","","test_product_detail_navigation","Major: Product detail navigation."
"passed","Sun Feb 01 15:50:03 UTC 2026","Sun Feb 01 15:50:03 UTC 2026","296","tests.fe","test_cart_and_checkout","TestCart","","","test_validate_cart_empty_state","Minor: Validate empty cart."
"passed","Sun Feb 01 15:50:12 UTC 2026","Sun Feb 01 15:50:12 UTC 2026","638","tests.fe","test_cart_and_checkout","TestCart","","","test_continue_shopping_from_overview_and_complete_checkout","Minor: Continue shopping from overview and complete checkout."
"passed","Sun Feb 01 15:50:28 UTC 2026","Sun Feb 01 15:50:29 UTC 2026","467","tests.fe","test_cart_and_checkout","TestCart","","","test_checkout_with_very_long_names","Edge: Checkout with very long names."
"passed","Sun Feb 01 15:49:44 UTC 2026","Sun Feb 01 15:49:45 UTC 2026","697","tests.fe","test_cart_and_checkout","TestCart","","","test_continue_shopping_from_cart","Major: Continue shopping from cart."
"passed","Sun Feb 01 15:49:42 UTC 2026","Sun Feb 01 15:49:43 UTC 2026","614","tests.fe","test_cart_and_checkout","TestCart","","","test_add_multiple_products_and_complete_checkout[checkout_data1]","Major: Add multiple products and complete checkout."
"passed","Sun Feb 01 15:49:05 UTC 2026","Sun Feb 01 15:49:07 UTC 2026","2222","tests.fe","test_authentication","","","","test_direct_detail_redirects_when_unauthenticated","Critical: Direct detail access requires authentication."
"passed","Sun Feb 01 15:49:20 UTC 2026","Sun Feb 01 15:49:21 UTC 2026","1168","tests.fe","test_burger_menu","","","","test_reset_app_state_clears_cart","Minor: Reset app state clears cart."
"passed","Sun Feb 01 15:50:57 UTC 2026","Sun Feb 01 15:50:57 UTC 2026","36","tests.fe","test_products","TestProductsPage","","","test_price_format_validation","Major: Price format validation."
"passed","Sun Feb 01 15:49:35 UTC 2026","Sun Feb 01 15:49:36 UTC 2026","636","tests.fe","test_cart_and_checkout","TestCart","","","test_access_checkout_directly_without_items","Critical: Access checkout page directly without items."
"passed","Sun Feb 01 15:50:31 UTC 2026","Sun Feb 01 15:50:31 UTC 2026","439","tests.fe","test_cart_and_checkout","TestCart","","","test_checkout_with_numbers_in_names","Edge: Checkout with numbers in names."
"passed","Sun Feb 01 15:48:34 UTC 2026","Sun Feb 01 15:48:35 UTC 2026","729","tests.fe","test_authentication","","","","test_authentication_login[locked_out]","Major: Authentication login test."
"passed","Sun Feb 01 15:48:39 UTC 2026","Sun Feb 01 15:48:45 UTC 2026","5794","tests.fe","test_authentication","","","","test_authentication_login[performance]","Major: Authentication login test."
"passed","Sun Feb 01 15:49:49 UTC 2026","Sun Feb 01 15:49:50 UTC 2026","530","tests.fe","test_cart_and_checkout","TestCart","","","test_add_multiple_products_from_detail_page","Major: Add multiple products from detail page and complete checkout."
"passed","Sun Feb 01 15:50:14 UTC 2026","Sun Feb 01 15:50:15 UTC 2026","948","tests.fe","test_cart_and_checkout","TestCart","","","test_refresh_on_checkout_overview","Minor: Refresh page on Checkout Overview."
"passed","Sun Feb 01 15:49:02 UTC 2026","Sun Feb 01 15:49:03 UTC 2026","752","tests.fe","test_authentication","","","","test_authentication_login[valid_user_empty_pass]","Major: Authentication login test."
"passed","Sun Feb 01 15:49:47 UTC 2026","Sun Feb 01 15:49:47 UTC 2026","506","tests.fe","test_cart_and_checkout","TestCart","","","test_add_product_from_detail_page","Major: Add product from detail page and complete checkout."
"passed","Sun Feb 01 15:49:00 UTC 2026","Sun Feb 01 15:49:00 UTC 2026","720","tests.fe","test_authentication","","","","test_authentication_login[empty_user_empty_pass]","Major: Authentication login test."
"passed","Sun Feb 01 15:50:53 UTC 2026","Sun Feb 01 15:50:54 UTC 2026","311","tests.fe","test_products","TestProductsPage","","","test_add_remove_from_detail_page","Major: Add remove from detail page."
"passed","Sun Feb 01 15:50:42 UTC 2026","Sun Feb 01 15:50:42 UTC 2026","71","tests.fe","test_products","TestProductsPage","","","test_sort_name_desc","Major: Sort name descending."
"passed","Sun Feb 01 15:49:12 UTC 2026","Sun Feb 01 15:49:15 UTC 2026","3767","tests.fe","test_burger_menu","","","","test_burger_menu_items_and_actions","Major: Burger menu items and actions."
"passed","Sun Feb 01 15:49:51 UTC 2026","Sun Feb 01 15:49:52 UTC 2026","304","tests.fe","test_cart_and_checkout","TestCart","","","test_add_and_remove_product_from_detail_page","Major: Add and remove product from detail page."
"passed","Sun Feb 01 15:48:52 UTC 2026","Sun Feb 01 15:48:53 UTC 2026","746","tests.fe","test_authentication","","","","test_authentication_login[invalid_user_valid_pass]","Major: Authentication login test."
"passed","Sun Feb 01 15:50:24 UTC 2026","Sun Feb 01 15:50:25 UTC 2026","330","tests.fe","test_cart_and_checkout","TestCart","","","test_minimum_valid_zip","Edge: Minimum valid zip."
"passed","Sun Feb 01 15:50:55 UTC 2026","Sun Feb 01 15:50:56 UTC 2026","280","tests.fe","test_products","TestProductsPage","","","test_cart_link_navigation","Major: Cart link navigation."
"passed","Sun Feb 01 15:49:38 UTC 2026","Sun Feb 01 15:49:38 UTC 2026","480","tests.fe","test_cart_and_checkout","TestCart","","","test_add_single_product_and_complete_checkout","Major: Add single product and complete checkout."
"passed","Sun Feb 01 15:51:02 UTC 2026","Sun Feb 01 15:51:02 UTC 2026","281","tests.fe","test_products","TestProductsPage","","","test_sort_persists_after_cart_actions","Minor: Sort persists after cart actions."
"passed","Sun Feb 01 15:50:46 UTC 2026","Sun Feb 01 15:50:46 UTC 2026","68","tests.fe","test_products","TestProductsPage","","","test_sort_price_high_low","Major: Sort price high to low."
"passed","Sun Feb 01 15:50:26 UTC 2026","Sun Feb 01 15:50:27 UTC 2026","446","tests.fe","test_cart_and_checkout","TestCart","","","test_checkout_with_special_characters","Edge: Checkout with special characters in names."
"passed","Sun Feb 01 15:51:08 UTC 2026","Sun Feb 01 15:51:09 UTC 2026","1011","tests.fe","test_products","TestProductsPage","","","test_sort_persists_after_reset_app_state","Minor: Sort persists after reset app state."
"passed","Sun Feb 01 15:51:11 UTC 2026","Sun Feb 01 15:51:12 UTC 2026","658","tests.fe","test_products","TestProductsPage","","","test_sort_reset_after_reload","Minor: Sort reset after reload."
"passed","Sun Feb 01 15:50:40 UTC 2026","Sun Feb 01 15:50:40 UTC 2026","77","tests.fe","test_products","TestProductsPage","","","test_sort_name_asc","Major: Sort name ascending."
"passed","Sun Feb 01 15:49:53 UTC 2026","Sun Feb 01 15:49:54 UTC 2026","542","tests.fe","test_cart_and_checkout","TestCart","","","test_add_mixed_sources","Major: Add multiple products from mixed sources."
"passed","Sun Feb 01 15:50:05 UTC 2026","Sun Feb 01 15:50:05 UTC 2026","329","tests.fe","test_cart_and_checkout","TestCart","","","test_cancel_from_checkout_information","Minor: Cancel from checkout info."
"passed","Sun Feb 01 15:49:58 UTC 2026","Sun Feb 01 15:49:59 UTC 2026","449","tests.fe","test_cart_and_checkout","TestCart","","","test_remove_all_items_from_cart","Major: Remove all items from cart and verify badge updates."
"passed","Sun Feb 01 15:49:33 UTC 2026","Sun Feb 01 15:49:34 UTC 2026","1242","tests.fe","test_cart_and_checkout","TestCart","","","test_logout_during_checkout_flow","Critical: Logout during checkout flow."
"passed","Sun Feb 01 15:49:56 UTC 2026","Sun Feb 01 15:49:56 UTC 2026","675","tests.fe","test_cart_and_checkout","TestCart","","","test_remove_one_from_multiple","Major: Remove one item from multiple and verify cart updates."
"passed","Sun Feb 01 15:48:49 UTC 2026","Sun Feb 01 15:48:50 UTC 2026","772","tests.fe","test_authentication","","","","test_authentication_login[visual]","Major: Authentication login test."
"passed","Sun Feb 01 15:49:26 UTC 2026","Sun Feb 01 15:49:26 UTC 2026","295","tests.fe","test_cart_and_checkout","TestCart","","","test_remove_item_before_checkout","Critical: Remove item before checkout."
"passed","Sun Feb 01 15:48:37 UTC 2026","Sun Feb 01 15:48:37 UTC 2026","796","tests.fe","test_authentication","","","","test_authentication_login[problem]","Major: Authentication login test."
"passed","Sun Feb 01 15:51:14 UTC 2026","Sun Feb 01 15:51:14 UTC 2026","422","tests.fe","test_products","TestProductsPage","","","test_cart_badge_overflow","Edge: Cart badge overflow."
"passed","Sun Feb 01 15:50:44 UTC 2026","Sun Feb 01 15:50:44 UTC 2026","77","tests.fe","test_products","TestProductsPage","","","test_sort_price_low_high","Major: Sort price low to high."
"passed","Sun Feb 01 15:50:17 UTC 2026","Sun Feb 01 15:50:18 UTC 2026","999","tests.fe","test_cart_and_checkout","TestCart","","","test_refresh_on_checkout_complete","Minor: Refresh page on Checkout Complete."
"passed","Sun Feb 01 15:50:49 UTC 2026","Sun Feb 01 15:50:50 UTC 2026","215","tests.fe","test_products","TestProductsPage","","","test_add_to_cart_from_product_detail","Major: Add to cart from product detail."
"passed","Sun Feb 01 15:50:35 UTC 2026","Sun Feb 01 15:50:35 UTC 2026","103","tests.fe","test_products","TestProductsPage","","","test_product_card_fields","Major: Product card fields."
"passed","Sun Feb 01 15:48:31 UTC 2026","Sun Feb 01 15:48:32 UTC 2026","971","tests.fe","test_authentication","","","","test_authentication_login[standard]","Major: Authentication login test."
"passed","Sun Feb 01 15:50:33 UTC 2026","Sun Feb 01 15:50:33 UTC 2026","26","tests.fe","test_products","TestProductsPage","","","test_load_inventory_page","Major: Load inventory page."
"passed","Sun Feb 01 15:50:59 UTC 2026","Sun Feb 01 15:51:00 UTC 2026","811","tests.fe","test_products","TestProductsPage","","","test_cart_badge_persists_after_refresh","Minor: Cart badge persists after refresh."
"passed","Sun Feb 01 15:51:04 UTC 2026","Sun Feb 01 15:51:06 UTC 2026","2089","tests.fe","test_products","TestProductsPage","","","test_burger_menu_from_cart_checkout","Minor: Burger menu from cart checkout."
"passed","Sun Feb 01 15:50:20 UTC 2026","Sun Feb 01 15:50:20 UTC 2026","429","tests.fe","test_cart_and_checkout","TestCart","","","test_navigate_back_after_checkout_completion","Minor: Navigate browser back after checkout completion."
"passed","Sun Feb 01 15:49:16 UTC 2026","Sun Feb 01 15:49:18 UTC 2026","2076","tests.fe","test_burger_menu","","","","test_burger_menu_from_cart_checkout","Minor: Burger menu from cart/checkout."
"passed","Sun Feb 01 15:48:47 UTC 2026","Sun Feb 01 15:48:48 UTC 2026","843","tests.fe","test_authentication","","","","test_authentication_login[error]","Major: Authentication login test."
