DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:87 Clearing cart before add-to-cart test
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:97 Cart cleared and back on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:117 Current badge count before adding: 0
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=1/2 | index=4 | name=Sauce Labs Fleece Jacket | price=$49.99 | desc=It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling everything from a relaxing day outdoors to a busy day at the office.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=4
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=2/2 | index=2 | name=Sauce Labs Bike Light | price=$9.99 | desc=A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:154 Badge updated correctly to 2 after adding 2 items
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=2 | actual=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=2 | actual=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 2
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
