"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Major: Add multiple products from detail page and complete checkout.","603","test_add_multiple_products_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Remove from cart updates badge.","218","test_remove_from_cart_updates_badge","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Critical: Invalid empty fields.","522","test_invalid_checkout_info_empty_fields","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Authentication login test.","695","test_authentication_login[invalid_user_wrong_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Critical: Logout during checkout flow.","1301","test_logout_during_checkout_flow","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Sort reset after reload.","726","test_sort_reset_after_reload","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Sort persists after cart actions.","282","test_sort_persists_after_cart_actions","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Sort name descending.","98","test_sort_name_desc","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Add multiple products and complete checkout.","638","test_add_multiple_products_and_complete_checkout[checkout_data0]","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Load inventory page.","30","test_load_inventory_page","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Refresh page on Checkout Complete.","1069","test_refresh_on_checkout_complete","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Add product from detail page and complete checkout.","528","test_add_product_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Sort persists after reset app state.","1024","test_sort_persists_after_reset_app_state","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","738","test_authentication_login[empty_user_empty_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Critical: Inventory access requires authentication.","1220","test_inventory_access_requires_auth","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Burger menu items and actions.","5035","test_burger_menu_items_and_actions","tests.fe","2026-02-01","passed","2026-02-01","","test_burger_menu","",""
"Major: Product detail navigation.","134","test_product_detail_navigation","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Add multiple products and complete checkout.","713","test_add_multiple_products_and_complete_checkout[checkout_data1]","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Add remove from detail page.","327","test_add_remove_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","762","test_authentication_login[visual]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
